,Unnamed: 0,LATITUDE,LONGITUDE,MAF_NAME,BLKID
6519,295206,39.6291627,-104.8941631,E Union Ave,80310068042020
272263,124628,39.66970648,-105.02765999,S Hazel Ct,80310046032005
270685,112690,39.61871451,-105.05878324,W Prentice Cir,80310120101015
106319,154537,39.73240128,-105.04305653,N Stuart St,80310009041001
169140,48530,39.71180599,-104.8996828,S Rosemary St,80310044051014
219922,293887,39.69722091,-104.88187646,E Mississippi Ave,80310070884000
151280,88241,39.73316687,-104.93432075,E Hale Pkwy,80310043014004
21723,221897,39.78152428,-104.73760463,E 47th Ave,80310083911004
235282,219937,39.650425,-105.05521786,S Sheridan Blvd,80310120011003
73204,72648,39.730887200000005,-104.99835355,N Santa Fe Dr,80310018002011
289306,140124,39.66329674,-105.07152496,S Otis St,80310119032002
270840,96702,39.62822185,-105.03740757,W Chenango Ave,80310055034008
99148,7164,39.71232409,-104.98849123,W Byers Pl,80310021002013
